"Date","Order","id","sp","rep","ind","twig","Row","Col","Treat","Final.lab","chill","time","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","Remove","day1","day2","day3","day","tleaf","lleaf","chillport"
2016-01-13,1,"ACESAC05_HF_03","ACESAC","5","ACESAC05",3,4,1,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,2,"ACESAC05_HF_07","ACESAC","5","ACESAC05",7,3,5,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC05_HF_09","ACESAC","5","ACESAC05",9,1,8,"4_1",NA,"chill4","time1",NA,NA,"1","1","","TS","",13,-2,-18,13,1,1,40.243854
2016-01-13,2,"ACESAC05_HF_11","ACESAC","5","ACESAC05",11,4,3,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC06_HF_04","ACESAC","6","ACESAC06",4,4,5,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,2,"ACESAC06_HF_05","ACESAC","6","ACESAC06",5,4,8,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC06_HF_07","ACESAC","6","ACESAC06",7,2,5,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC06_HF_08","ACESAC","6","ACESAC06",8,2,6,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,2,"ACESAC07_HF_02","ACESAC","7","ACESAC07",2,2,7,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC07_HF_04","ACESAC","7","ACESAC07",4,3,8,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,3,"ACESAC07_HF_07","ACESAC","7","ACESAC07",7,3,3,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC07_HF_09","ACESAC","7","ACESAC07",9,3,8,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC07_HF_10","ACESAC","7","ACESAC07",10,1,7,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC07_HF_12","ACESAC","7","ACESAC07",12,2,8,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC09_HF_03","ACESAC","9","ACESAC09",3,1,9,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC09_HF_04","ACESAC","9","ACESAC09",4,1,2,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC09_HF_05","ACESAC","9","ACESAC09",5,4,4,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC99_HF_01","ACESAC","99","ACESAC99",1,2,1,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC99_HF_06","ACESAC","99","ACESAC99",6,4,6,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC99_HF_07","ACESAC","99","ACESAC99",7,2,4,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,3,"ACESAC99_HF_08","ACESAC","99","ACESAC99",8,2,7,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESAC99_HF_11","ACESAC","99","ACESAC99",11,3,7,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESACX1_HF_07","ACESAC","X1","ACESACX1",7,2,5,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESACX1_HF_08","ACESAC","X1","ACESACX1",8,4,2,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,2,"ACESACX1_HF_11","ACESAC","X1","ACESACX1",11,3,3,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS","",13,-2,-18,13,1,1,40.243854
2016-01-13,1,"ACESACX2_HF_02","ACESAC","X2","ACESACX2",2,3,9,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
2016-01-13,1,"ACESACX2_HF_03","ACESAC","X2","ACESACX2",3,2,9,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS","",13,-2,-18,13,0,0,40.243854
