"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"ILEMUCX2_HF_07","ILEMUC","X2","ILEMUCX2","07","chill1","time2","1_2",22,6,3
"BETALL22_HF_03","BETALL","22","BETALL22","03","chill1","time2","1_2",22,6,3
"ACESACX3_HF_11","ACESAC","X3","ACESACX3","11","chill1","time1","1_1",22,6,3
"ACESAC06_HF_08","ACESAC","06","ACESAC06","08","chill1","time1","1_1",23,7,3
"ILEMUC08_HF_08","ILEMUC","08","ILEMUC08","08","chill1","time2","1_2",23,7,3
"QUERUB23_HF_11","QUERUB","23","QUERUB23","11","chill1","time1","1_1",23,7,3
"QUERUB21_HF_03","QUERUB","21","QUERUB21","03","chill1","time2","1_2",24,8,3
"VIBCASX5_HF_10","VIBCAS","X5","VIBCASX5","10","chill1","time3","1_3",24,8,3
"BETALL17_HF_07","BETALL","17","BETALL17","07","chill1","time2","1_2",24,8,3
"BETALLX3_HF_05","BETALL","X3","BETALLX3","05","chill1","time2","1_2",25,1,4
"FAGGRA10_HF_07","FAGGRA","10","FAGGRA10","07","chill1","time1","1_1",25,1,4
"QUERUBX2_HF_07","QUERUB","X2","QUERUBX2","07","chill1","time3","1_3",25,1,4
"ACESAC09_HF_12","ACESAC","09","ACESAC09","12","chill1","time3","1_3",26,2,4
"ILEMUCX3_HF_01","ILEMUC","X3","ILEMUCX3","01","chill1","time3","1_3",26,2,4
"VIBCAS02_HF_03","VIBCAS","02","VIBCAS02","03","chill1","time1","1_1",26,2,4
"ILEMUCX4_HF_09","ILEMUC","X4","ILEMUCX4","09","chill1","time1","1_1",27,3,4
"HAMVIRX1_HF_08","HAMVIR","X1","HAMVIRX1","08","chill1","time3","1_3",27,3,4
"BETALL22_HF_08","BETALL","22","BETALL22","08","chill1","time3","1_3",27,3,4
"QUERUBX5_HF_05","QUERUB","X5","QUERUBX5","05","chill1","time2","1_2",28,4,4
"VIBCAS01_HF_02","VIBCAS","01","VIBCAS01","02","chill1","time2","1_2",28,4,4
"FAGGRAX2_HF_06","FAGGRA","X2","FAGGRAX2","06","chill1","time1","1_1",28,4,4
"FAGGRA09_HF_03","FAGGRA","09","FAGGRA09","03","chill1","time3","1_3",29,5,4
"ACESAC05_HF_10","ACESAC","05","ACESAC05","10","chill1","time3","1_3",29,5,4
"BETALL16_HF_07","BETALL","16","BETALL16","07","chill1","time2","1_2",29,5,4
"HAMVIRX6_HF_03","HAMVIR","X6","HAMVIRX6","03","chill1","time2","1_2",30,6,4
"BETALL17_HF_09","BETALL","17","BETALL17","09","chill1","time1","1_1",30,6,4
"FAGGRA13_HF_05","FAGGRA","13","FAGGRA13","05","chill1","time3","1_3",30,6,4
"ACESAC99_HF_02","ACESAC","99","ACESAC99","02","chill1","time2","1_2",31,7,4
"HAMVIRX8_HF_06","HAMVIR","X8","HAMVIRX8","06","chill1","time2","1_2",31,7,4
"BETALL17_HF_03","BETALL","17","BETALL17","03","chill1","time3","1_3",31,7,4
"ACESACX2_HF_03","ACESAC","X2","ACESACX2","03","chill1","time1","1_1",32,8,4
"HAMVIRX7_HF_10","HAMVIR","X7","HAMVIRX7","10","chill1","time2","1_2",32,8,4
"FAGGRA10_HF_10","FAGGRA","10","FAGGRA10","10","chill1","time2","1_2",32,8,4
"ACESACX2_HF_01","ACESAC","X2","ACESACX2","01","chill1","time2","1_2",33,1,5
"QUERUB19_HF_11","QUERUB","19","QUERUB19","11","chill1","time3","1_3",33,1,5
"BETALL22_HF_02","BETALL","22","BETALL22","02","chill1","time1","1_1",33,1,5
"ILEMUCX1_HF_02","ILEMUC","X1","ILEMUCX1","02","chill1","time2","1_2",34,2,5
"HAMVIRX3_HF_08","HAMVIR","X3","HAMVIRX3","08","chill1","time3","1_3",34,2,5
"BETALL20_HF_10","BETALL","20","BETALL20","10","chill1","time3","1_3",34,2,5
"BETALL16_HF_02","BETALL","16","BETALL16","02","chill1","time3","1_3",35,3,5
"HAMVIRX6_HF_02","HAMVIR","X6","HAMVIRX6","02","chill1","time3","1_3",35,3,5
