"","X1","X2","X3","X4","X5","X6","X7","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3"
"1","VIBCASX5_HF_01	HAMVIRX6_HF_10	FAGGRA02_HF_10","VIBCAS08_HF_07	HAMVIRX7_HF_09	BETALLX3_HF_04","QUERUBX2_HF_06	VIBCAS08_HF_11	HAMVIRX4_HF_12","BETALLX3_HF_05	FAGGRA10_HF_07	QUERUBX2_HF_07","ACESACX2_HF_01	QUERUB19_HF_11	BETALL22_HF_02","ILEMUC07_HF_04	HAMVIRX3_HF_06	FAGGRA09_HF_04","ILEMUCX1_HF_01	BETALLX1_HF_03	FAGGRAX2_HF_08","BETALL16_HF_04	FAGGRA09_HF_11	HAMVIRX2_HF_09","FAGGRA09_HF_05	HAMVIRX2_HF_07	QUERUBX3_HF_01","ILEMUC08_HF_02	BETALLX3_HF_01	FAGGRA13_HF_11","HAMVIRX4_HF_05	BETALL22_HF_11	FAGGRA13_HF_08","FAGGRAX2_HF_09	ILEMUC03_HF_12	FAGGRAX3_HF_12","ACESAC99_HF_04	QUERUB23_HF_05	HAMVIRX8_HF_03","ILEMUC07_HF_09	BETALL20_HF_03	ACESAC07_HF_07","HAMVIRX6_HF_05	ACESACX1_HF_11	FAGGRA02_HF_09","VIBCAS08_HF_06	ILEMUCX5_HF_06	ACESACX2_HF_12","VIBCAS02_HF_07	HAMVIRX5_HF_11	FAGGRA02_HF_11","HAMVIRX3_HF_02	QUERUBX4_HF_01	FAGGRAX2_HF_02","QUERUBX5_HF_04	HAMVIRX7_HF_11	FAGGRAX1_HF_05","ACESACX1_HF_12	ILEMUC07_HF_06	FAGGRA10_HF_04","ILEMUCX1_HF_06	VIBCASX5_HF_09	BETALL16_HF_11","ACESAC99_HF_07	ILEMUC07_HF_03	HAMVIRX6_HF_01","ACESAC06_HF_06	QUERUBX2_HF_01	HAMVIRX1_HF_07","ACESAC06_HF_07	ILEMUCX1_HF_09	HAMVIRX6_HF_12","ACESACX2_HF_04	HAMVIRX8_HF_08	FAGGRAX2_HF_05","FAGGRAX1_HF_10	QUERUBX3_HF_06	HAMVIRX2_HF_12","BETALLX3_HF_06	QUERUBX2_HF_09	ACESAC99_HF_08","QUERUB19_HF_09	ILEMUCX2_HF_10	VIBCAS01_HF_11"
"2","ACESAC06_HF_11	ILEMUCX5_HF_03	HAMVIRX1_HF_04","QUERUBX3_HF_04	HAMVIRX2_HF_01	FAGGRA03_HF_11","HAMVIRX5_HF_07	ACESACX3_HF_12	ILEMUC07_HF_10","ACESAC09_HF_12	ILEMUCX3_HF_01	VIBCAS02_HF_03","ILEMUCX1_HF_02	HAMVIRX3_HF_08	BETALL20_HF_10","QUERUB22_HF_10	ILEMUCX5_HF_04	HAMVIRX2_HF_04","QUERUBX5_HF_06	VIBCAS02_HF_10	FAGGRA03_HF_02","BETALLX1_HF_10	ACESAC99_HF_09	HAMVIRX1_HF_05","VIBCAS01_HF_06	HAMVIRX8_HF_02	BETALL18_HF_02","FAGGRAX2_HF_12	BETALL19_HF_07	HAMVIRX3_HF_01","QUERUBX5_HF_09	HAMVIRX6_HF_06	BETALL19_HF_04","QUERUBX3_HF_12	FAGGRAX3_HF_11	HAMVIRX5_HF_06","HAMVIRX1_HF_09	ACESAC05_HF_07	ILEMUCX5_HF_11","FAGGRAX2_HF_04	HAMVIRX4_HF_06	ILEMUCX5_HF_07","ILEMUCX3_HF_03	HAMVIRX4_HF_01	QUERUBX2_HF_05","HAMVIRX3_HF_10	BETALL20_HF_04	FAGGRA03_HF_05","BETALLX1_HF_07	ILEMUCX3_HF_02	FAGGRA13_HF_04","VIBCAS01_HF_07	BETALLX3_HF_02	FAGGRAX2_HF_01","QUERUB22_HF_02	VIBCAS02_HF_01	HAMVIRX3_HF_09","VIBCAS08_HF_10	BETALL17_HF_05	FAGGRA10_HF_09","QUERUBX3_HF_03	ILEMUCX2_HF_06	HAMVIRX7_HF_04","ACESACX2_HF_05	HAMVIRX5_HF_12	FAGGRA02_HF_12","QUERUBX4_HF_12	BETALLX1_HF_06	FAGGRAX3_HF_03","QUERUB19_HF_08	HAMVIRX2_HF_06	BETALL18_HF_12","ILEMUCX2_HF_02	BETALL16_HF_09	BETALL22_HF_10","ACESACX3_HF_09	QUERUB22_HF_08	HAMVIRX8_HF_11","ACESACX3_HF_06	VIBCAS02_HF_05	HAMVIRX3_HF_07","ILEMUC08_HF_05	ILEMUCX4_HF_03	BETALL17_HF_10"
"3","HAMVIRX5_HF_01	ILEMUC08_HF_12	QUERUB22_HF_04","HAMVIRX8_HF_04	VIBCAS01_HF_10	ILEMUCX3_HF_05","ILEMUCX5_HF_08	BETALL19_HF_01	FAGGRAX2_HF_11","ILEMUCX4_HF_09	HAMVIRX1_HF_08	BETALL22_HF_08","BETALL16_HF_02	HAMVIRX6_HF_02	ACESAC06_HF_03","ACESAC09_HF_03	FAGGRA09_HF_07	ILEMUCX4_HF_12","FAGGRA10_HF_03	BETALL18_HF_10	ACESAC99_HF_03","QUERUBX2_HF_03	BETALL20_HF_08	FAGGRA13_HF_03","ACESACX2_HF_06	VIBCASX5_HF_07	BETALLX3_HF_03","ACESACX3_HF_02	QUERUB22_HF_01	FAGGRA10_HF_12","QUERUBX2_HF_04	ILEMUCX2_HF_01	VIBCAS01_HF_05","ILEMUCX5_HF_09	HAMVIRX5_HF_02	BETALL18_HF_03","ACESAC06_HF_02	HAMVIRX3_HF_05	FAGGRAX1_HF_03","BETALL16_HF_01	FAGGRA03_HF_12	ILEMUCX2_HF_03","ILEMUC07_HF_07	FAGGRA13_HF_02	BETALL22_HF_01","ACESAC05_HF_01	ILEMUC08_HF_01	VIBCAS08_HF_08","ACESAC09_HF_08	ILEMUCX1_HF_03	VIBCASX5_HF_03","ACESAC07_HF_09	QUERUB19_HF_10	FAGGRA10_HF_08","ILEMUC03_HF_01	HAMVIRX2_HF_05	FAGGRA02_HF_06","ACESAC99_HF_11	HAMVIRX1_HF_02	BETALL20_HF_09","QUERUB23_HF_09	VIBCAS01_HF_12	HAMVIRX1_HF_06","QUERUBX4_HF_11	VIBCAS01_HF_03	HAMVIRX6_HF_07","QUERUB21_HF_11	ILEMUCX1_HF_11	HAMVIRX5_HF_05","QUERUBX4_HF_06	ILEMUCX3_HF_06	BETALLX3_HF_07","ACESACX1_HF_06	BETALL18_HF_09	FAGGRA09_HF_06","ILEMUC03_HF_10	BETALL16_HF_03	FAGGRA03_HF_10","ACESAC09_HF_04	ILEMUC03_HF_05	BETALL19_HF_03","QUERUBX5_HF_11	HAMVIRX4_HF_04	FAGGRA13_HF_09"
"4","QUERUBX2_HF_02	ILEMUC03_HF_04	HAMVIRX3_HF_12","BETALLX3_HF_11	QUERUB21_HF_04	ILEMUC03_HF_08","ACESAC99_HF_01	ILEMUCX3_HF_12	BETALL20_HF_12","QUERUBX5_HF_05	VIBCAS01_HF_02	FAGGRAX2_HF_06","QUERUBX3_HF_11	ACESAC07_HF_08	BETALL20_HF_02","HAMVIRX4_HF_10	BETALLX1_HF_02	FAGGRAX1_HF_09","QUERUBX3_HF_05	ILEMUCX2_HF_05	HAMVIRX2_HF_02","ACESAC05_HF_02	BETALL22_HF_05	HAMVIRX3_HF_03","ACESAC09_HF_09	ILEMUCX2_HF_04	VIBCAS02_HF_11","ACESACX1_HF_09	QUERUB19_HF_05	FAGGRA02_HF_04","ACESAC07_HF_04	QUERUB23_HF_06	FAGGRA09_HF_12","ACESACX2_HF_02	BETALL17_HF_11	FAGGRA03_HF_08","QUERUBX2_HF_11	ACESACX1_HF_02	BETALL20_HF_11","ACESACX1_HF_05	QUERUB19_HF_03	HAMVIRX6_HF_09","ACESAC05_HF_12	ILEMUC08_HF_09	FAGGRA03_HF_04","ILEMUC03_HF_02	ACESACX3_HF_04	BETALL18_HF_05","ACESAC05_HF_03	VIBCASX5_HF_04	BETALL18_HF_07","ACESACX1_HF_08	QUERUBX4_HF_10	FAGGRA13_HF_01","ACESAC99_HF_05	HAMVIRX5_HF_10	BETALLX1_HF_05","ACESAC07_HF_01	QUERUB21_HF_08	ILEMUCX4_HF_11","ILEMUCX5_HF_12	ILEMUC08_HF_06	BETALL22_HF_06","BETALLX1_HF_04	ACESACX1_HF_03	QUERUB21_HF_06","VIBCAS08_HF_05	BETALL18_HF_11	FAGGRAX1_HF_07","FAGGRAX3_HF_05	ACESACX3_HF_01	ILEMUCX5_HF_02","ACESAC09_HF_01	ILEMUCX4_HF_01	VIBCAS02_HF_04","BETALLX3_HF_10	BETALL19_HF_02	HAMVIRX7_HF_06","ACESAC07_HF_03	ILEMUCX5_HF_01	FAGGRA09_HF_10","ACESAC09_HF_10	ILEMUCX4_HF_10	BETALL17_HF_12"
"5","ACESACX1_HF_10	QUERUBX4_HF_02	VIBCAS08_HF_03","ACESACX2_HF_10	BETALLX1_HF_09	FAGGRA13_HF_12","FAGGRA03_HF_03	ILEMUCX4_HF_08	HAMVIRX8_HF_09","FAGGRA09_HF_03	ACESAC05_HF_10	BETALL16_HF_07","ILEMUCX1_HF_07	ACESAC05_HF_08	QUERUBX4_HF_04","ACESACX3_HF_03	QUERUBX5_HF_07	FAGGRA02_HF_07",NA,"BETALL16_HF_06	ILEMUCX1_HF_10	ILEMUCX4_HF_02","QUERUB23_HF_07	HAMVIRX8_HF_07	BETALLX1_HF_11","QUERUB21_HF_01	HAMVIRX2_HF_10	BETALL19_HF_10","ACESACX3_HF_10	BETALLX1_HF_08	FAGGRA03_HF_01","ILEMUCX3_HF_09	BETALL17_HF_01	FAGGRA02_HF_01","ILEMUC07_HF_01	VIBCAS08_HF_01	FAGGRAX3_HF_07",NA,"ACESAC99_HF_10	HAMVIRX2_HF_03	FAGGRAX1_HF_08","ACESAC06_HF_12	BETALL16_HF_05	ILEMUCX2_HF_12","QUERUB22_HF_05	VIBCAS01_HF_08	BETALLX1_HF_01","ILEMUCX1_HF_08	HAMVIRX4_HF_03	BETALL20_HF_01","HAMVIRX6_HF_08	ACESAC09_HF_11	QUERUBX4_HF_09","ACESACX3_HF_08	BETALL16_HF_08	VIBCAS02_HF_06",NA,"QUERUB23_HF_10	HAMVIRX2_HF_11	FAGGRA13_HF_06","FAGGRA03_HF_06	ACESACX2_HF_07	BETALL20_HF_07","BETALL22_HF_07	HAMVIRX7_HF_08	QUERUBX2_HF_10","ILEMUCX1_HF_05	HAMVIRX3_HF_04	FAGGRAX2_HF_03","QUERUBX5_HF_03	HAMVIRX7_HF_01	FAGGRA10_HF_05","ACESAC99_HF_12	VIBCAS02_HF_02	BETALL20_HF_06",NA
"6","VIBCASX5_HF_12	BETALL18_HF_06	FAGGRAX3_HF_09","ILEMUCX2_HF_08	FAGGRAX3_HF_01	QUERUB23_HF_08","ILEMUCX2_HF_07	BETALL22_HF_03	ACESACX3_HF_11","HAMVIRX6_HF_03	BETALL17_HF_09	FAGGRA13_HF_05","QUERUB19_HF_12	BETALL18_HF_01	FAGGRA13_HF_10","ACESACX1_HF_07	ILEMUC03_HF_09	ILEMUC08_HF_10",NA,"ACESAC09_HF_07	VIBCASX5_HF_02	FAGGRAX1_HF_04","QUERUBX4_HF_07	BETALLX3_HF_09	FAGGRAX1_HF_11","QUERUB22_HF_12	ILEMUC03_HF_03	BETALL18_HF_04","VIBCASX5_HF_11	BETALL17_HF_02	ACESACX3_HF_07","FAGGRA10_HF_02	ACESAC05_HF_11	ILEMUCX1_HF_12","QUERUBX3_HF_09	ILEMUCX4_HF_06	VIBCAS02_HF_12",NA,"BETALL22_HF_09	ILEMUCX2_HF_11	HAMVIRX1_HF_10","ACESAC09_HF_06	QUERUB23_HF_12	HAMVIRX8_HF_01","QUERUB19_HF_01	ILEMUCX5_HF_05	HAMVIRX7_HF_02","QUERUBX5_HF_08	HAMVIRX2_HF_08	FAGGRA09_HF_02","ACESACX2_HF_08	QUERUBX2_HF_08	BETALL19_HF_11","ILEMUCX4_HF_04	BETALL17_HF_08	QUERUBX3_HF_08",NA,"QUERUB21_HF_09	ILEMUC08_HF_03	FAGGRAX3_HF_08","QUERUBX3_HF_10	VIBCASX5_HF_06	FAGGRA03_HF_09","ACESAC07_HF_11	ILEMUC03_HF_06	HAMVIRX4_HF_09","ACESAC07_HF_10	ILEMUCX3_HF_10	FAGGRA09_HF_01","VIBCASX5_HF_08	HAMVIRX3_HF_11	FAGGRA10_HF_01","ACESAC05_HF_06	VIBCASX5_HF_05	FAGGRAX2_HF_10",NA
"7","VIBCAS01_HF_04	HAMVIRX4_HF_07	FAGGRAX1_HF_12","QUERUBX4_HF_03	BETALL16_HF_12	HAMVIRX7_HF_12","ACESAC06_HF_08	ILEMUC08_HF_08	QUERUB23_HF_11","ACESAC99_HF_02	HAMVIRX8_HF_06	BETALL17_HF_03","FAGGRAX3_HF_04	ACESAC07_HF_02	BETALL19_HF_12","QUERUB21_HF_12	ACESAC09_HF_02	BETALL19_HF_08",NA,"ILEMUCX3_HF_07	VIBCAS08_HF_04	HAMVIRX7_HF_03","ACESACX2_HF_09	QUERUB21_HF_10	VIBCAS01_HF_01","QUERUBX4_HF_05	HAMVIRX7_HF_07	FAGGRA10_HF_11","ACESAC09_HF_05	QUERUBX4_HF_08	HAMVIRX1_HF_01","QUERUB21_HF_02	BETALL22_HF_04	HAMVIRX6_HF_04","ACESAC06_HF_04	QUERUB22_HF_03	ILEMUC03_HF_07",NA,"ACESAC06_HF_09	FAGGRAX3_HF_06	HAMVIRX5_HF_09","QUERUBX2_HF_12	BETALL17_HF_06	FAGGRAX1_HF_06","BETALLX3_HF_08	ILEMUCX3_HF_04	FAGGRAX2_HF_07","BETALLX3_HF_12	ILEMUC03_HF_11	HAMVIRX8_HF_12","ILEMUCX4_HF_05	HAMVIRX6_HF_11	FAGGRAX3_HF_10","ACESACX3_HF_05	QUERUB23_HF_01	FAGGRAX3_HF_02",NA,"QUERUB19_HF_07	ILEMUCX5_HF_10	FAGGRAX1_HF_02","ACESAC05_HF_09	QUERUB23_HF_03	BETALL19_HF_06","QUERUBX5_HF_01	HAMVIRX1_HF_12	ACESACX1_HF_01","FAGGRA02_HF_03	BETALL20_HF_05	QUERUB23_HF_02","ACESAC05_HF_05	VIBCAS01_HF_09	BETALL22_HF_12","FAGGRA02_HF_08	ILEMUC08_HF_11	QUERUBX3_HF_02",NA
"8","ACESAC07_HF_12	HAMVIRX5_HF_04	FAGGRAX1_HF_01","ILEMUC07_HF_05	ACESAC05_HF_04	QUERUB23_HF_04","QUERUB21_HF_03	VIBCASX5_HF_10	BETALL17_HF_07","ACESACX2_HF_03	HAMVIRX7_HF_10	FAGGRA10_HF_10","QUERUB22_HF_06	VIBCAS02_HF_09	HAMVIRX1_HF_03","ACESACX1_HF_04	QUERUB19_HF_02	FAGGRA02_HF_02",NA,"ILEMUC08_HF_04	QUERUBX5_HF_12	ACESAC07_HF_06","ILEMUCX1_HF_04	VIBCAS08_HF_09	FAGGRA02_HF_05","QUERUB19_HF_04	ILEMUC07_HF_08	VIBCAS02_HF_08","ACESAC06_HF_01	HAMVIRX7_HF_05	ILEMUC08_HF_07","ACESAC99_HF_06	ILEMUCX3_HF_11	HAMVIRX4_HF_02","HAMVIRX5_HF_08	ILEMUCX4_HF_07	QUERUBX5_HF_02",NA,"FAGGRA09_HF_08	BETALL19_HF_09	QUERUB19_HF_06","ACESAC07_HF_05	QUERUBX5_HF_10	BETALL19_HF_05","QUERUB21_HF_07	ILEMUC07_HF_11	FAGGRA03_HF_07","ACESACX2_HF_11	QUERUB22_HF_11	FAGGRA09_HF_09","QUERUB21_HF_05	ACESAC06_HF_05	HAMVIRX8_HF_05","QUERUBX3_HF_07	HAMVIRX4_HF_11	BETALL18_HF_08",NA,"ILEMUCX3_HF_08	VIBCAS08_HF_02	HAMVIRX8_HF_10","BETALL16_HF_10	HAMVIRX1_HF_11	FAGGRA10_HF_06","ILEMUCX2_HF_09	QUERUB22_HF_09	HAMVIRX4_HF_08","ILEMUC07_HF_12	HAMVIRX5_HF_03	BETALL17_HF_04","QUERUB22_HF_07	VIBCAS08_HF_12	BETALLX1_HF_12","ACESAC06_HF_10	ILEMUC07_HF_02	FAGGRA13_HF_07",NA
