V1,V2,V3,V4
VIBCASX5_01,HAMVIRX6_10,FAGGRA02_10,1_2
ACESAC06_11,ILEMUCX5_03,HAMVIRX1_04,1_3
HAMVIRX5_01,ILEMUC08_12,QUERUB22_04,1_1
QUERUBX2_02,ILEMUC03_04,HAMVIRX3_12,1_2
ACESACX1_10,QUERUBX4_02,VIBCAS08_03,1_2
VIBCASX5_12,BETALL18_06,FAGGRAX3_09,1_1
VIBCAS01_04,HAMVIRX4_07,FAGGRAX1_12,1_3
ACESAC07_12,HAMVIRX5_04,FAGGRAX1_01,1_1
VIBCAS08_07,HAMVIRX7_09,BETALLX3_04,1_3
QUERUBX3_04,HAMVIRX2_01,FAGGRA03_11,1_1
HAMVIRX8_04,VIBCAS01_10,ILEMUCX3_05,1_3
BETALLX3_11,QUERUB21_04,ILEMUC03_08,1_3
ACESACX2_10,BETALLX1_09,FAGGRA13_12,1_3
ILEMUCX2_08,FAGGRAX3_01,QUERUB23_08,1_1
QUERUBX4_03,BETALL16_12,HAMVIRX7_12,1_2
ILEMUC07_05,ACESAC05_04,QUERUB23_04,1_2
QUERUBX2_06,VIBCAS08_11,HAMVIRX4_12,1_1
HAMVIRX5_07,ACESACX3_12,ILEMUC07_10,1_3
ILEMUCX5_08,BETALL19_01,FAGGRAX2_11,1_1
ACESAC99_01,ILEMUCX3_12,BETALL20_12,1_1
FAGGRA03_03,ILEMUCX4_08,HAMVIRX8_09,1_1
ILEMUCX2_07,BETALL22_03,ACESACX3_11,1_2
ACESAC06_08,ILEMUC08_08,QUERUB23_11,1_1
QUERUB21_03,VIBCASX5_10,BETALL17_07,1_2
BETALLX3_05,FAGGRA10_07,QUERUBX2_07,1_2
ACESAC09_12,ILEMUCX3_01,VIBCAS02_03,1_3
ILEMUCX4_09,HAMVIRX1_08,BETALL22_08,1_1
QUERUBX5_05,VIBCAS01_02,FAGGRAX2_06,1_2
FAGGRA09_03,ACESAC05_10,BETALL16_07,1_3
HAMVIRX6_03,BETALL17_09,FAGGRA13_05,1_2
ACESAC99_02,HAMVIRX8_06,BETALL17_03,1_2
ACESACX2_03,HAMVIRX7_10,FAGGRA10_10,1_1
ACESACX2_01,QUERUB19_11,BETALL22_02,1_2
ILEMUCX1_02,HAMVIRX3_08,BETALL20_10,1_2
BETALL16_02,HAMVIRX6_02,ACESAC06_03,1_3
QUERUBX3_11,ACESAC07_08,BETALL20_02,1_2
ILEMUCX1_07,ACESAC05_08,QUERUBX4_04,1_3
QUERUB19_12,BETALL18_01,FAGGRA13_10,1_2
FAGGRAX3_04,ACESAC07_02,BETALL19_12,1_1
QUERUB22_06,VIBCAS02_09,HAMVIRX1_03,1_2
ILEMUC07_04,HAMVIRX3_06,FAGGRA09_04,1_1
QUERUB22_10,ILEMUCX5_04,HAMVIRX2_04,1_3
ACESAC09_03,FAGGRA09_07,ILEMUCX4_12,1_1
HAMVIRX4_10,BETALLX1_02,FAGGRAX1_09,1_2
ACESACX3_03,QUERUBX5_07,FAGGRA02_07,1_3
ACESACX1_07,ILEMUC03_09,ILEMUC08_10,1_1
QUERUB21_12,ACESAC09_02,BETALL19_08,1_3
ACESACX1_04,QUERUB19_02,FAGGRA02_02,1_3
ILEMUCX1_01,BETALLX1_03,FAGGRAX2_08,1_1
QUERUBX5_06,VIBCAS02_10,FAGGRA03_02,1_1
FAGGRA10_03,BETALL18_10,ACESAC99_03,1_3
QUERUBX3_05,ILEMUCX2_05,HAMVIRX2_02,1_3
BETALL16_04,FAGGRA09_11,HAMVIRX2_09,2_2
BETALLX1_10,ACESAC99_09,HAMVIRX1_05,2_2
QUERUBX2_03,BETALL20_08,FAGGRA13_03,2_1
ACESAC05_02,BETALL22_05,HAMVIRX3_03,2_2
BETALL16_06,ILEMUCX1_10,ILEMUCX4_02,2_3
ACESAC09_07,VIBCASX5_02,FAGGRAX1_04,2_2
ILEMUCX3_07,VIBCAS08_04,HAMVIRX7_03,2_3
ILEMUC08_04,QUERUBX5_12,ACESAC07_06,2_3
FAGGRA09_05,HAMVIRX2_07,QUERUBX3_01,2_1
VIBCAS01_06,HAMVIRX8_02,BETALL18_02,2_3
ACESACX2_06,VIBCASX5_07,BETALLX3_03,2_3
ACESAC09_09,ILEMUCX2_04,VIBCAS02_11,2_3
QUERUB23_07,HAMVIRX8_07,BETALLX1_11,2_2
QUERUBX4_07,BETALLX3_09,FAGGRAX1_11,2_2
ACESACX2_09,QUERUB21_10,VIBCAS01_01,2_2
ILEMUCX1_04,VIBCAS08_09,FAGGRA02_05,2_3
ILEMUC08_02,BETALLX3_01,FAGGRA13_11,2_2
FAGGRAX2_12,BETALL19_07,HAMVIRX3_01,2_2
ACESACX3_02,QUERUB22_01,FAGGRA10_12,2_2
ACESACX1_09,QUERUB19_05,FAGGRA02_04,2_2
QUERUB21_01,HAMVIRX2_10,BETALL19_10,2_3
QUERUB22_12,ILEMUC03_03,BETALL18_04,2_3
QUERUBX4_05,HAMVIRX7_07,FAGGRA10_11,2_3
QUERUB19_04,ILEMUC07_08,VIBCAS02_08,2_2
HAMVIRX4_05,BETALL22_11,FAGGRA13_08,2_3
QUERUBX5_09,HAMVIRX6_06,BETALL19_04,2_1
QUERUBX2_04,ILEMUCX2_01,VIBCAS01_05,2_2
ACESAC07_04,QUERUB23_06,FAGGRA09_12,2_1
ACESACX3_10,BETALLX1_08,FAGGRA03_01,2_3
VIBCASX5_11,BETALL17_02,ACESACX3_07,2_1
ACESAC09_05,QUERUBX4_08,HAMVIRX1_01,2_1
ACESAC06_01,HAMVIRX7_05,ILEMUC08_07,2_2
FAGGRAX2_09,ILEMUC03_12,FAGGRAX3_12,2_1
QUERUBX3_12,FAGGRAX3_11,HAMVIRX5_06,2_2
ILEMUCX5_09,HAMVIRX5_02,BETALL18_03,2_2
ACESACX2_02,BETALL17_11,FAGGRA03_08,2_1
ILEMUCX3_09,BETALL17_01,FAGGRA02_01,2_1
FAGGRA10_02,ACESAC05_11,ILEMUCX1_12,2_1
QUERUB21_02,BETALL22_04,HAMVIRX6_04,2_2
ACESAC99_06,ILEMUCX3_11,HAMVIRX4_02,2_1
ACESAC99_04,QUERUB23_05,HAMVIRX8_03,2_2
HAMVIRX1_09,ACESAC05_07,ILEMUCX5_11,2_1
ACESAC06_02,HAMVIRX3_05,FAGGRAX1_03,2_3
QUERUBX2_11,ACESACX1_02,BETALL20_11,2_3
ILEMUC07_01,VIBCAS08_01,FAGGRAX3_07,2_3
QUERUBX3_09,ILEMUCX4_06,VIBCAS02_12,2_3
ACESAC06_04,QUERUB22_03,ILEMUC03_07,2_1
HAMVIRX5_08,ILEMUCX4_07,QUERUBX5_02,2_1
ILEMUC07_09,BETALL20_03,ACESAC07_07,2_1
FAGGRAX2_04,HAMVIRX4_06,ILEMUCX5_07,2_3
BETALL16_01,FAGGRA03_12,ILEMUCX2_03,2_1
ACESACX1_05,QUERUB19_03,HAMVIRX6_09,2_3
HAMVIRX6_05,ACESACX1_11,FAGGRA02_09,8_1
ILEMUCX3_03,HAMVIRX4_01,QUERUBX2_05,8_2
ILEMUC07_07,FAGGRA13_02,BETALL22_01,8_3
ACESAC05_12,ILEMUC08_09,FAGGRA03_04,8_3
ACESAC99_10,HAMVIRX2_03,FAGGRAX1_08,8_3
BETALL22_09,ILEMUCX2_11,HAMVIRX1_10,8_3
ACESAC06_09,FAGGRAX3_06,HAMVIRX5_09,8_2
FAGGRA09_08,BETALL19_09,QUERUB19_06,8_1
VIBCAS08_06,ILEMUCX5_06,ACESACX2_12,8_3
HAMVIRX3_10,BETALL20_04,FAGGRA03_05,8_2
ACESAC05_01,ILEMUC08_01,VIBCAS08_08,8_2
ILEMUC03_02,ACESACX3_04,BETALL18_05,8_1
ACESAC06_12,BETALL16_05,ILEMUCX2_12,8_3
ACESAC09_06,QUERUB23_12,HAMVIRX8_01,8_3
QUERUBX2_12,BETALL17_06,FAGGRAX1_06,8_1
ACESAC07_05,QUERUBX5_10,BETALL19_05,8_3
VIBCAS02_07,HAMVIRX5_11,FAGGRA02_11,8_3
BETALLX1_07,ILEMUCX3_02,FAGGRA13_04,8_1
ACESAC09_08,ILEMUCX1_03,VIBCASX5_03,8_2
ACESAC05_03,VIBCASX5_04,BETALL18_07,8_1
QUERUB22_05,VIBCAS01_08,BETALLX1_01,8_2
QUERUB19_01,ILEMUCX5_05,HAMVIRX7_02,8_3
BETALLX3_08,ILEMUCX3_04,FAGGRAX2_07,8_2
