Date,Order,id,sp,rep,ind,twig,Row,Col,Treat,Final lab,chill,time,Term fl,Lat fl,Term lf,Lat lf,Comments,Observer,,,
2016-01-13,1,QUERUBX2_HF_06,QUERUB,X2,QUERUBX2,6,1,1,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,2,VIBCAS08_HF_11,VIBCAS,8,VIBCAS08,11,1,1,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,HAMVIRX4_HF_12,HAMVIR,X4,HAMVIRX4,12,1,1,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,1,ILEMUC07_HF_04,ILEMUC,7,ILEMUC07,4,1,2,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,2,HAMVIRX3_HF_06,HAMVIR,X3,HAMVIRX3,6,1,2,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,FAGGRA09_HF_04,FAGGRA,9,FAGGRA09,4,1,2,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,1,ILEMUCX1_HF_01,ILEMUC,X1,ILEMUCX1,1,1,3,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,2,BETALLX1_HF_03,BETALL,X1,BETALLX1,3,1,3,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,FAGGRAX2_HF_08,FAGGRA,X2,FAGGRAX2,8,1,3,1_1,,chill1,time1,,,1,1,,TS,,,
2016-01-13,1,QUERUBX3_HF_04,QUERUB,X3,QUERUBX3,4,1,4,1_1,,chill1,time1,,,1,1,,TS,,,
2016-01-13,2,HAMVIRX2_HF_01,HAMVIR,X2,HAMVIRX2,1,1,4,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,FAGGRA03_HF_11,FAGGRA,3,FAGGRA03,11,1,4,1_1,,chill1,time1,,,1,1,,TS,,,
2016-01-13,1,QUERUBX5_HF_06,QUERUB,X5,QUERUBX5,6,1,5,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,2,VIBCAS02_HF_10,VIBCAS,2,VIBCAS02,10,1,5,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,FAGGRA03_HF_02,FAGGRA,3,FAGGRA03,2,1,5,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,1,HAMVIRX5_HF_01,HAMVIR,X5,HAMVIRX5,1,1,6,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,2,ILEMUC08_HF_12,ILEMUC,8,ILEMUC08,12,1,6,1_1,,chill1,time1,,,0,0,,TS,,,
2016-01-13,3,QUERUB22_HF_04,QUERUB,22,QUERUB22,4,1,6,1_1,,chill1,time1,,,1,1,,TS,,,
2016-01-13,1,ILEMUCX5_HF_08,ILEMUC,X5,ILEMUCX5,8,1,7,1_1,,chill1,time1,,,0,0,,TS,,,
