"Order","id","sp","rep","ind","twig","Row","Col","Treat","Final.lab","chill","time","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day1","day2","day3","day","tleaf","lleaf","chillport","lday","fday","bday","nl"
1,"ACESAC06_HF_04","ACESAC","6","ACESAC06",4,4,5,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
2,"ACESAC06_HF_05","ACESAC","6","ACESAC06",5,4,8,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC06_HF_06","ACESAC","6","ACESAC06",6,6,2,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,NA,0
1,"ACESAC06_HF_07","ACESAC","6","ACESAC06",7,2,5,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC06_HF_08","ACESAC","6","ACESAC06",8,2,6,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC06_HF_09","ACESAC","6","ACESAC06",9,8,7,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,NA,0
1,"ACESAC06_HF_10","ACESAC","6","ACESAC06",10,2,6,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,NA,NA,61,0
1,"ACESAC06_HF_11","ACESAC","6","ACESAC06",11,1,2,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,NA,NA,61,0
1,"ACESAC06_HF_12","ACESAC","6","ACESAC06",12,4,1,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,NA,NA,54,0
1,"ACESAC07_HF_01","ACESAC","7","ACESAC07",1,8,2,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,63,NA,49,1
2,"ACESAC07_HF_02","ACESAC","7","ACESAC07",2,2,7,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,64,0
1,"ACESAC07_HF_03","ACESAC","7","ACESAC07",3,1,8,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,61,NA,54,1
